Enviado,Escola,E-mail,Endereço,Telefone,Tipo,Latitude,Longitude,Abandono,Remoto,Alunos,Nivel,Conclusão
https://docs.google.com/spreadsheets/d/1CXjhcPYWFxAAMZQlHdRB3pJLVNCEcJi8ap2us023U_k/edit?usp=sharing,COL ESTADUAL WALDEMAR AMORETTY MACHADO,waldemarmachado13cre@educacao.rs.gov.br,R ALBERTO PASQUALINI 651. 651 SANTA FLORA. 96415-400 Bagé - RS.,(53) 32417991,Estadual,-31.3376027,-54.08573616,0,0,464,Séries Finais e Médio,S
https://docs.google.com/spreadsheets/d/1YgO3YIv95TL4zaUsX0b8hTmePyCDN3xosBcVMBNkZVk/edit?usp=sharing,ESC EST ENS FUN ARTHUR DAME,arthurdame13cre@educacao.rs.gov.br,R PAULO BARCELOS 250. 250 BAIRRO DAME. 96405-130 Bagé - RS.,(53) 32413312,Estadual,-31.31423932,-54.13864553,0,0,170,Fundamental,S
https://docs.google.com/spreadsheets/d/1LxMHsoiRrP6oWtWd2b23d89sGoHMB6kAKJQehVnUrEE/edit?usp=sharing,ESC EST ENS FUN DR ARNALDO FARIAS,arnaldofaria13cre@educacao.rs.gov.br,AV GAL MALLET 997. 997 SAO SEBASTIAO. 96422-000 Bagé - RS.,(53) 32421573,Estadual,-31.34916246,-54.11205451,0,0,185,Fundamental,S
https://docs.google.com/spreadsheets/d/1dMk7hFO7qZaGOc4F-ZSiJTiR5wp-nDOAV2uDyy9PNeg/edit?usp=sharing,ESC EST ENS FUN DR MARIO OLIVE SUNE,marioosune13cre@educacao.rs.gov.br,R MIGUEL MELLO 351 ANT R 358. 351 ANT R 358. SAO DOMINGOS. 96410-070 Bagé - RS.,(53) 32474367,Estadual,-31.26751019,-54.13894754,0,0,52,Fundamental,S
https://docs.google.com/spreadsheets/d/1hRquGms2sNlQewpGFzQOi9Qcx98-bTh0ZsOPaT4fupM/edit?usp=sharing,ESC EST ENS FUN FELIX CONTREIRAS RODRIGUES,felixcrodrigues13cre@educacao.rs.gov.br,AV ESPANHA. 00750 TARUMA. 96408-000 Bagé - RS.,(53) 32424070,Estadual,-31.30918158,-54.11531342,1,0,475,Fundamental,S
https://docs.google.com/spreadsheets/d/1ObIYqBGtw8BUTgNP4fNCn2k56r7LY-X6kCk6NPslHYs/edit?usp=sharing,ESC EST ENS FUN MARTINHO SARAIVA,martinhosaraiva13cre@educacao.rs.gov.br,R RUA AFONSO GARRASTAZU 196. 196 INDUSTRIAL. 96417-760 Bagé - RS.,(53) 32410072,Estadual,-31.35503465,-54.03073975,0,0,67,Fundamental,S
https://docs.google.com/spreadsheets/d/1kUNV7r5fUbs127atmQLxUBUoJvUnQFbRejkIrySeLxo/edit?usp=sharing,ESC EST ENS FUN MONSENHOR COSTABILE HIPOLITO,costabilehipolito13cre@educacao.rs.gov.br,R CONDE DE PORTO ALEGRE 99. 99 CENTRO. 96400-280 Bagé - RS.,(53) 32472644,Estadual,-31.36693572,-54.10400053,0,0,166,Fundamental,S
https://docs.google.com/spreadsheets/d/1cxcldcYCWOXBdVzZeW-4ao0vtq5dFmyeK8JC9ll8-lk/edit?usp=sharing,ESC EST ENS FUN PROF JULINHA COSTA TABORDA,julinhactaborda13cre@educacao.rs.gov.br,R PIRATINI 200. 200 SANTA FLORA. 96415-250 Bagé - RS.,(53) 32415280,Estadual,-31.33532628,-54.09086179,0,0,75,Fundamental,S
https://docs.google.com/spreadsheets/d/1U9Mzbu_MeQSdq0DbMUIX3l0ElsvhT7XySOPDKg9OJIw/edit?usp=sharing,ESC EST ENS FUN SENADOR GETULIO VARGAS,getuliovargas13cre@educacao.rs.gov.br,R PRINCESA ISABEL 150. 150 VILA IPIRANGA. 96418-200 Bagé - RS.,(53) 32411792,Estadual,-31.33824054,-54.0818109,2,0,207,Fundamental,S
https://docs.google.com/spreadsheets/d/1XWpl3GjLLkNAwfR6u_4QbYmp_JI1qjGRZi29Y4evv4k/edit?usp=sharing,ESC EST ENS MED DR CARLOS ANTONIO KLUWE,carlosakluwe13cre@educacao.rs.gov.br,AV GEN OSORIO 1439. 1439 CENTRO. 96400-101 Bagé - RS.,(53) 32423870,Estadual,-31.32424941,-54.10688281,0,0,1112,Médio,S
https://docs.google.com/spreadsheets/d/1ey8mxX5Dx8RHExJ3N6udnyX817k8z6MocrYVXUvoIT8/edit?usp=sharing,ESC EST ENS MED DR LUIZ MARIA FERRAZ,luizmferraz13cre@educacao.rs.gov.br,AV JOSE DO PATROCINIO S/N. S/N SAO JUDAS TADEU. 96418-500 Bagé - RS.,,Estadual,-31.32939447,-54.0753094,8,0,569,Fundamental e Médio,S
https://docs.google.com/spreadsheets/d/1Cm4KV0GRMaQiW-hfb7TYMB5OdxtjzIIcOJqsuZDLwkw/edit?usp=sharing,ESC EST ENS MED DR LUIZ MERCIO TEIXEIRA,luizmteixeira13cre@educacao.rs.gov.br,R MONTE LIBANO 39. 39 GETULIO VARGAS. 96412-730 Bagé - RS.,(53) 32421833,Estadual,-31.32148415,-54.09759399,0,1,219,Fundamental e Médio,S
https://docs.google.com/spreadsheets/d/1xXjCdrxsWOGTFKnSSrKhONKBEYSWUnMC1X1P6z10L_8/edit?usp=sharing,ESC EST ENS MED FARROUPILHA,farroupilha13cre@educacao.rs.gov.br,R BARAO DO ITAQUI 548. 548 SAO BERNARDO. 96412-600 Bagé - RS.,(53) 32425561,Estadual,-31.31535273,-54.09496151,1,0,269,Séries Finais e Médio,S
https://docs.google.com/spreadsheets/d/1bAE2LGFUtS8lPKeXHylnYUZhl1f5mLQJ9zG2XKl5uyY/edit?usp=sharing,ESC EST ENS MED FREI PLACIDO,freiplacido13cre@educacao.rs.gov.br,AV GEN MALLET 1. 1 CENTRO. 96422-000 Bagé - RS.,(53) 32425870,Estadual,-31.34262113,-54.10556014,8,0,426,Fundamental e Médio,S
https://docs.google.com/spreadsheets/d/1Q_4GWt8EYF4e8e78JSAr-AqiVjamOfxZTbxUwIvaDlQ/edit?usp=sharing,ESC EST ENS MED JOSE GOMES FILHO,josegfilho13cre@educacao.rs.gov.br,R BISPO ATHALICIO PITHAN 111. 111 VILA BRUNO. 96410-400 Bagé - RS.,(53) 32427601,Estadual,-31.29935258,-54.12278132,6,0,298,Fundamental e Médio,S
