Escola,Pré I,Pré II,Total Pré,1°,2°,3°,4°,5°,6°,7°,8°,9°,Total Fundamental,1° Médio,2° Médio,3° Médio,Total Médio,Total Alunos
COL ESTADUAL WALDEMAR AMORETTY MACHADO,0,0,0,11,0,0,12,19,31,26,51,45,195,104,71,62,237,432
ESC EST ENS FUN ARTHUR DAME,0,0,0,30,20,18,20,24,14,17,14,13,170,0,0,0,0,170
ESC EST ENS FUN DR ARNALDO FARIAS,0,0,0,13,22,12,30,27,19,19,20,23,185,0,0,0,0,185
ESC EST ENS FUN DR MARIO OLIVE SUNE,0,0,0,5,8,7,8,6,8,2,5,3,52,0,0,0,0,52
ESC EST ENS FUN FELIX CONTREIRAS RODRIGUES,0,0,0,31,32,40,50,56,53,67,70,76,475,0,0,0,0,475
ESC EST ENS FUN MARTINHO SARAIVA,0,0,0,6,9,7,8,6,10,6,5,10,67,0,0,0,0,67
ESC EST ENS FUN MONSENHOR COSTABILE HIPOLITO,0,0,0,9,6,18,17,22,22,27,23,22,166,0,0,0,0,166
ESC EST ENS FUN PROF JULINHA COSTA TABORDA,0,0,0,0,6,6,8,7,12,10,15,11,75,0,0,0,0,75
ESC EST ENS FUN SENADOR GETULIO VARGAS,0,0,0,32,34,35,22,26,31,27,0,0,207,0,0,0,0,207
ESC EST ENS MED DR CARLOS ANTONIO KLUWE,0,0,0,0,0,0,0,0,0,0,0,0,0,430,318,364,1112,1112
ESC EST ENS MED DR LUIZ MARIA FERRAZ,0,0,0,20,24,28,21,26,40,25,39,42,265,111,106,87,304,569
ESC EST ENS MED DR LUIZ MERCIO TEIXEIRA,0,0,0,4,2,8,7,14,12,18,18,25,108,53,38,20,111,219
ESC EST ENS MED FARROUPILHA,0,0,0,0,0,0,0,0,32,30,32,27,121,75,47,26,148,269
ESC EST ENS MED FREI PLACIDO,0,0,0,13,7,15,20,15,24,19,29,25,167,116,90,53,259,426
ESC EST ENS MED JOSE GOMES FILHO,0,0,0,16,14,15,20,18,19,23,20,21,166,46,53,33,132,298
ESC EST ENS MED PROF LEOPOLDO MAIERON CAIC,0,0,0,31,24,35,32,49,31,50,51,49,352,43,24,33,100,452
ESC EST ENS MED SILVEIRA MARTINS,0,0,0,23,23,26,35,28,50,54,67,73,379,143,149,123,415,794
